id,customer,sale_date,days_in_inventory,count,price
31908970690,Self-Sufficient Fire,2022-10-31,15,110,343.99
707539391572,Streamlined Florentine,2022-10-17,10,41,98.3
791822824086,Crisp Romanticist,2022-06-05,40,43,272.52
414673334932,Caparisoned World Record,2022-02-18,22,72,150.53
685976949981,Numerate Chicken Broth,2022-08-22,39,74,175.02
308192968773,No-Hit Bioassay,2022-10-16,19,95,359.66
503223148780,Operational Rug,2022-06-21,23,31,236.17
920926944667,Unalarming Drill Press,2022-04-11,12,6,421.69
319891693275,Diplomatic Doorsill,2022-03-17,15,79,171.93
570921906974,Demonstrative Unilateral Contract,2022-05-11,6,105,415.29
108275310561,Quadraphonic Prolongation,2022-01-10,21,36,169.64
212358111785,Immaculate Framework,2022-06-24,41,81,192.18
3005691724,New Linguist,2022-06-13,35,2,225.34
444030780235,Sluicing Blade,2022-06-19,9,106,388.09
924198864917,Anticlimactic Easter Cactus,2022-08-24,34,34,196.39
234463891494,Pigeon-Breasted Trisodium Phosphate,2022-07-10,25,108,481.36
97415894594,Out Of Play Onychomys,2022-05-12,15,84,127.11
100380059030,Logogrammatic Curtis,2022-09-11,3,99,349.89
893274811372,Unanalyzed Muenster,2022-03-11,18,86,127.42
880011078421,Unbalanced Takeoff,2022-11-04,2,29,233.41
102067232874,Off Banker,2022-01-27,9,37,490.53
594718805680,Demanding Regulation,2022-06-16,39,14,101.95
165359144375,Decayable Sex-Change Operation,2022-05-09,28,108,289.42
855965182253,Lentissimo Spiciness,2022-10-24,26,33,420.42
971292700756,Serendipitous Police State,2022-01-04,12,115,587.06
903581696910,Buff-Brown Hollerith,2022-10-21,40,107,205.57
903497210669,Politic Kamia,2022-05-21,39,127,408.08
619935188751,Unformed Receiver,2022-08-27,6,46,299.29
456608420991,Seeded Flute,2022-09-08,29,60,236.93
603970674228,Smoke-Free Heliobacter Pylori,2022-10-11,11,82,292.81
921673108450,Uncritical Fixed-Cycle Operation,2022-08-06,7,6,348.9
258354247920,Innocent Will-O'-The-Wisp,2022-02-10,32,113,220.92
503084727175,Lapidary Cord,2022-11-05,19,56,382.1
157732484975,Gregarious Face,2022-09-12,11,66,186.74
718204804373,Black-Grey Right Angle,2022-01-26,39,69,247.25
130883890515,Unsexy Hood,2022-09-19,9,36,176.04
684833966672,Inhibitory Lassen Volcanic National Park,2022-11-13,9,19,401.71
28257856017,Extricable Stash House,2022-05-15,2,34,148.28
167420914593,Temperamental Skinhead,2022-07-08,20,29,179.94
188480030212,Ball-Hawking Explication De Texte,2022-04-23,6,78,297.55
516375423721,Separated Recital,2022-07-23,27,112,475.43
909155812192,Long-Headed Laser Trabecular Surgery,2022-07-17,30,96,205.09
62591555469,Self-Disciplined Alpha Decay,2022-09-07,35,2,210.0
777543419571,Unripe Apprehension,2022-08-07,12,48,329.74
875368342751,Cold Aksa Martyrs Brigades,2022-10-05,8,38,481.47
345437504711,Agrestic Spotted Salamander,2022-08-14,23,51,96.17
299891561754,Blistering Shrink-Wrapped Software,2022-03-22,16,75,113.47
879922595948,Impartial Transcendentalism,2022-06-17,38,127,89.12
595774200783,Kafkaesque Khalkha,2022-08-18,12,119,215.13
702775666026,Rationalistic Fore-Topsail,2022-11-05,26,2,311.72
62053877685,Frost-Bound Rhizoctinia,2022-10-15,25,74,423.85
977840023651,Entrepreneurial Dominant Gene,2022-08-01,39,89,297.99
307314412697,Relative Slanguage,2022-06-21,14,127,103.32
514579787307,Fossiliferous Experience,2022-03-05,31,119,233.35
493854469542,Bootleg Chamaeleo,2022-01-22,1,36,566.24
354682472007,Tigerish Vieques,2022-06-27,26,96,309.01
286488450068,Off-Line Biscayne Bay,2022-06-02,15,30,438.16
687498097697,Frequent Roswell,2022-04-08,9,75,196.38
488728988511,Scalene Undertone,2022-08-30,23,14,689.77
547267922090,Massive Ignition Coil,2022-06-07,3,118,585.64
344945932451,Clean-Limbed Bryozoa,2022-01-30,14,7,736.23
649410000155,Machine-Made Preposition,2022-07-11,8,53,400.07
83858611992,Carinal Culver'S Root,2022-05-12,15,59,153.17
901895269894,Seljuk Rice,2022-06-14,38,35,129.93
952961120091,Proved Shortness,2022-01-06,11,24,538.31
595044823877,Grey-Green Drag,2022-05-14,33,75,194.92
754300790285,Adequate To Snatch,2022-01-06,3,116,392.91
923588972022,Wild-Eyed Ring Rot,2022-11-20,20,37,261.43
822282038567,Coherent Kusan,2022-10-26,35,63,127.89
507708746448,Hateful Stillborn Infant,2022-01-03,23,50,158.15
70927998820,Philosophic Rock Star,2022-04-10,1,114,401.37
641465244007,Inviolable Whitetail Prairie Dog,2022-08-08,12,40,587.37
352465740580,Judeo-Christian Water Mill,2022-07-02,10,15,235.04
663547260612,Resourceful Common White Dogwood,2022-01-20,3,70,90.34
610134899738,Triune Arbutus,2022-01-27,27,82,543.17
333208090462,Thundery Honeycreeper,2022-09-22,7,17,550.74
559933242140,Discontented Trifoliolate Leaf,2022-08-01,38,102,258.58
669961595456,Predestinarian Execration,2022-06-14,4,125,485.71
784957366483,Samoyedic-Speaking Vindictiveness,2022-02-07,7,103,487.74
427895612163,High-Pitched Anthrax,2022-02-18,37,114,317.61
443101775310,Unaccustomed Smelt,2022-09-30,16,4,178.21
604846489715,Bunchy Chelydra,2022-05-01,42,102,180.21
554953244728,Unseasonable Recessive Gene,2022-11-02,16,51,351.85
602427565500,Heart-Healthy Sciadopitys,2022-10-09,14,105,472.86
487529252764,Cyrillic Dresser,2022-07-18,24,57,504.53
225103737976,Inflexible Ambloplites,2022-03-21,40,36,169.71
23730325285,Algorithmic Arisarum,2022-08-01,15,110,565.48
171202841734,Welsh Sepia,2022-07-31,32,52,476.44
21300925124,New Zealander Grass,2022-09-05,39,2,191.86
526929227190,Innocent Self-Flagellation,2022-02-11,32,29,154.67
87611392760,Unflavored Clinopodium,2022-06-24,6,18,244.64
258346410157,Primitive Lighthouse Keeper,2022-04-22,39,36,524.12
440636591023,Lacy Court,2022-11-03,4,39,109.36
118890201092,Evocative Ezekiel,2022-02-16,1,7,109.2
125328992498,Grass-Eating Caretaker,2022-04-25,4,13,554.69
695508438758,Turkic Inheritance,2022-08-31,42,75,299.91
733521893283,Bailable Night Rider,2022-02-22,2,129,326.4
32653135385,Heavier-Than-Air Romanesque,2022-11-29,12,69,96.39
934722572184,Nonsensitive Midway Islands,2022-03-01,38,33,173.94
808887352479,Conventionalized Skywalk,2022-06-13,42,100,317.36
601674405254,Diseased Flood,2022-01-14,22,65,174.73
888536465874,Aesthetic Homosexuality,2022-07-12,28,53,505.2
109722868492,Anthophagous Suction Cup,2022-10-01,7,53,362.82
711105261382,Healthy Ciliata,2022-11-17,25,55,452.7
596094795470,Overall Leatherleaf,2022-04-10,10,109,556.82
706620981879,Showery Red Army Faction,2022-07-04,12,116,381.0
929375044639,Unretentive Word Game,2022-03-05,22,98,257.53
861809611486,Fumed Ferule,2022-02-10,25,6,594.88
110648842548,Unhewn Bade,2022-11-29,18,131,117.22
844007316890,Uncongenial Hack,2022-05-01,32,43,270.16
893928029024,Wild Library,2022-03-03,5,104,159.07
29242047547,Absent Bargain Hunter,2022-07-16,33,128,192.66
909025014781,Thoughtless Stringybark Pine,2022-05-14,24,22,158.9
6392962670,Glorious Chlorophthalmidae,2022-04-19,23,53,153.13
442018413233,Adumbrative Tentaculata,2022-01-03,39,98,270.63
787645665428,Auriferous Fedelline,2022-03-06,20,3,315.19
935274004246,Elective Game Of Chance,2022-10-28,1,86,407.88
656982882164,Thronged Anchor,2022-10-16,29,65,89.53
957935208641,Veiled Ignorantness,2022-10-14,38,74,131.78
52048324865,Crosswise Genus Oxalis,2022-06-25,40,112,334.86
646198036963,Cost-Efficient Counter,2022-10-05,10,35,512.02
241085011727,Bovine Epsom Salts,2022-06-15,15,7,553.93
856764675758,Operational Deliberate Defense,2022-10-24,1,95,196.29
644875414565,Unconscious Graham Cracker,2022-08-05,19,108,258.49
157001929200,Law-Abiding Adenomegaly,2022-03-10,23,72,135.57
607255313565,Scattershot Striker,2022-10-07,14,14,261.75
981858380294,Odorous Seating,2022-09-15,9,30,354.83
245805234906,Hundred-And-Fifteenth Bed,2022-05-30,15,49,227.83
993318235998,Defunct Naturopathy,2022-10-01,6,38,467.03
561379985601,Disagreeable Cold Rubber,2022-05-28,25,67,589.27
480390205014,Incandescent Woodborer,2022-08-27,42,95,401.34
333553071057,Unendowed Sycophancy,2022-06-04,41,24,89.41
990451650206,Antimonial Climber,2022-06-26,30,56,284.62
266486586488,Low-Tension Vapor Density,2022-02-13,30,96,272.93
346663438004,Intriguing Dyslexia,2022-06-07,35,13,719.05
459751604528,Sustained Valve,2022-08-03,5,1,106.25
358590483490,Rightful Safety Bolt,2022-05-11,19,20,233.19
560322571390,Lyrate Spiral Spring,2022-05-15,22,28,139.24
453609563826,Ottoman Baikal,2022-11-20,25,85,275.3
570639128068,Interrogative Outwardness,2022-08-31,19,75,165.8
802226721282,Erectile Infatuation,2022-11-17,29,101,511.64
248528516804,Noncombatant Empire,2022-03-24,19,29,561.07
370187664523,Bigoted British Crown,2022-09-02,16,122,298.37
757436107852,Respectful Coat Hanger,2022-05-12,29,89,469.84
14800948396,Unindustrialized Climb,2022-10-23,1,16,331.48
536013590508,Federal Malvaviscus,2022-07-29,8,13,461.24
259597626508,Exempt Brag,2022-03-14,40,56,381.97
110551420370,Physiologic Hemolysin,2022-04-08,19,131,128.21
187973390259,Agential Numen,2022-01-21,23,10,144.09
888370552860,Inactive Rolodex,2022-08-06,13,74,256.13
990669526264,Elfin Ecchymosis,2022-11-21,40,66,361.13
240002238805,Environmental Patzer,2022-02-18,7,18,383.45
352617559432,Raising Voider,2022-03-16,6,16,170.57
375076456901,South-Central Rudder Blade,2022-09-26,29,73,549.2
45664731823,Weak-Stemmed Dutch Elm Disease,2022-01-10,32,16,449.55
930639392819,Raunchy Character,2022-01-18,28,70,276.08
351189404228,Mangy Ekman,2022-01-24,27,62,242.57
744919134584,Jumentous Deep,2022-10-06,28,17,184.11
38247077098,Blaring Condescension,2022-04-29,22,90,474.88
138974402926,Isopteran Middle,2022-05-16,4,104,660.74
101549050296,Amorphous Shielding,2022-01-25,23,99,139.08
526240098685,Immunocompromised Undescended Testis,2022-11-28,12,131,567.87
664078783477,Erotic Blond,2022-01-23,31,88,109.8
964974032684,Thick Al Sunna Wal Jamma,2022-08-26,42,20,101.75
243692896666,At Large Murrumbidgee,2022-04-30,27,55,474.95
302866497588,Understated Antioch,2022-01-21,5,85,277.81
904996560225,Irresistible Maximum,2022-08-02,9,49,434.51
288966172670,Yellow-Tinged Roman Alphabet,2022-06-20,2,27,517.84
339494555010,Uniovular Utu,2022-01-06,37,71,394.09
590597190962,Representable Nizhnyi Novgorod,2022-05-14,11,132,574.36
112567913964,Minor Yellow Clintonia,2022-06-28,36,56,417.8
85778579470,Charged Field Day,2022-09-11,6,123,114.22
70056872019,Unsuspecting Galley Slave,2022-10-19,42,80,264.81
976282968977,Veined Equetus,2022-06-02,21,118,196.98
713185459332,Atypical Xenophon,2022-02-18,31,82,152.64
772749525933,One Hundred Five Duress,2022-11-23,36,91,397.3
825073637198,Headed Berserker,2022-08-22,4,130,555.2
874662358305,Fourteenth Mousepad,2022-05-06,27,13,491.71
933394006697,Biased Succorer,2022-01-30,5,51,144.13
214959861243,Impeded Ashkenazi,2022-04-06,40,11,414.17
590131167762,Willing Beef,2022-08-12,4,4,233.11
489585484395,Illegal Purchasing Department,2022-08-22,10,27,219.48
356971285280,Calorifacient Three,2022-05-09,9,104,114.24
827330137768,Fine Component,2022-02-12,16,82,100.43
899338523295,Point-Of-Sale Cult,2022-10-19,5,98,551.41
854416815533,Babyish Liquid Crystal Display,2022-03-20,8,73,491.91
663717781628,Historic Patchiness,2022-03-21,26,115,148.78
816364496031,Bad Cascade Everlasting,2022-10-29,31,29,402.27
640111178784,No-Frills Admission,2022-04-25,41,125,126.67
483780363409,Nuclear National Institute Of Justice,2022-08-26,36,116,570.86
961550254760,Mandibulate Kogia,2022-05-28,29,68,226.79
680539103631,Fledgling Himmler,2022-03-08,2,10,261.13
590327930264,Tearless X-Ray Tube,2022-08-26,25,24,322.56
958007316366,Terminological Artery,2022-02-07,41,10,582.22
158409146020,Proper News Magazine,2022-10-18,31,40,88.98
701076720344,Diminished East Midland,2022-11-18,41,119,504.39
334893830108,Untipped Corruption,2022-11-02,28,27,173.79
858153019319,Rhymed Flowering Maple,2022-06-13,14,104,231.5
294753238966,Accretionary Delusion,2022-05-28,22,53,298.43
469685527935,Unengaged Earl Marshal,2022-05-10,16,124,313.13
320028327172,Discontinued Creon,2022-11-23,9,27,163.19
452102980184,Kashmiri Hitch,2022-09-17,10,112,172.94
523884434108,Individual Reciprocal,2022-08-07,13,24,416.38
891525810348,Hasidic Raj,2022-01-06,32,28,517.93
27030238135,Analogical Spirits Of Ammonia,2022-05-27,8,94,379.53
837153562175,Stereoscopic Saddle Oyster,2022-04-07,35,100,169.37
257653795514,Untraversed Pacer,2022-11-22,23,109,140.68
849627965409,Flippant Artery,2022-01-01,38,109,119.01
796386930885,Zygotic Vizsla,2022-06-28,10,29,201.24
471828992688,Obsessed Tarzan,2022-05-18,5,22,349.01
330514063445,Dutch Zarf,2022-10-23,9,121,435.43
24972773010,Coin-Operated Polistes Annularis,2022-10-13,25,99,158.96
472731661147,Gracious Absolute,2022-09-17,41,113,141.8
670593584202,Pillared Scarlet Pimpernel,2022-04-23,34,92,90.29
525357484591,Well-Meaning Capillarity,2022-04-01,19,52,195.99
834162763217,Expendable Cumulonimbus,2022-04-04,42,51,116.43
556192391071,Alterable Warren,2022-09-08,33,41,398.06
230476227769,Nonlethal Worst,2022-01-27,24,106,208.6
132579744835,Jammed Rubric,2022-09-11,27,17,321.75
641475229254,Flemish Propenal,2022-04-03,15,122,303.32
549519275304,Manky Germ Pore,2022-05-15,32,11,499.36
495493518204,Sublimed Fantan,2022-11-26,6,83,281.76
657818008135,Impelling Solway Firth,2022-03-03,6,8,471.39
777002685217,Sexagenarian Placenta Previa,2022-05-29,19,86,189.92
161788769089,Dirty Boron Counter Tube,2022-01-14,10,54,271.84
483882052218,Solid Casern,2022-01-28,39,96,317.75
112672216581,Secret Neopolitan,2022-03-13,20,49,178.1
431683156752,Membranous Ease,2022-05-16,13,66,109.25
618311030444,Animal Sweetheart,2022-08-20,2,92,381.69
819368290556,Second-Class Straightener,2022-03-18,3,18,330.46
778284154289,Flat-Footed Syncategorem,2022-06-01,2,90,151.59
146191105320,Conjectural Becker Muscular Dystrophy,2022-08-29,16,109,282.78
